LAT,LON,SPEED,COURSE,HEADING,DESTINATION,FLAG,LENGTH,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,DWT,DATETIME,PORT,date,week_nb,ship_type,port,is_parked,LAT_lag,LON_lag,vessel_distance
57.99511,11.75793,123,32,34,KJOPMANN / SE UDD,CY,83,AGATH,8,1036966,13,3232,2016-12-17T02:15:05Z,gothenborg,2016-12-17,51,Tanker,gothenborg,0,57.98556,11.74649,1259.3076576132185
54.51115,18.7081,0,335,335,GDYNIA-SEA TRIALS-GD,PA,66,GLOMAR WAVE,6,1037103,14,1321,2016-12-14T10:09:01Z,gdansk,2016-12-14,50,Passenger,Gdańsk,1,54.52425,18.5592,9731.154768707524
59.89045,30.20623,84,36,32,SAINT.PETERSBURG,RU,28,LOOKMAN,3,1039931,10,575,2016-12-20T09:31:04Z,st_petersburg,2016-12-20,51,Tug,St. Petersburg,0,59.88041,30.19512,1278.352782528467
54.96532,20.23569,103,72,78,PIONERSKI,RU,23,KAPITAN BELYAEV,0,1064825,6,NA,2016-12-17T07:55:02Z,kalingrad,2016-12-17,51,Unspecified,Kalingrad,0,54.97714,20.34083,6845.678764540398
59.94119,30.25643,0,0,0,NA,--,95,SVISLOCH,7,1071570,16,NA,2016-12-15T01:57:04Z,st_petersburg,2016-12-15,50,Cargo,St. Petersburg,1,59.94119,30.25643,0
59.94119,30.25643,0,0,0,NA,--,95,SVISLOCH,7,1071570,16,NA,2016-12-15T01:57:04Z,st_petersburg,2016-12-15,50,Cargo,St. Petersburg,1,59.94119,30.25643,0
57.90428,11.64585,1290,50,892,NaN,SE,0,SAR 111265582,3,1072314,0,NA,2016-12-13T16:25:06Z,gothenborg,2016-12-13,50,Tug,gothenborg,0,57.72334,11.6312,20160.897889964577
57.77127,11.62132,0,0,312,NA,SE,37,LINDA,6,1081005,7,120,2016-12-20T11:11:05Z,gothenborg,2016-12-20,51,Passenger,gothenborg,1,57.74679,11.64108,2967.0294087161583
57.75909,11.62117,88,263,252,NA,SE,37,ULRIKA,6,1085676,9,203,2016-12-20T09:47:05Z,gothenborg,2016-12-20,51,Passenger,gothenborg,0,57.74446,11.64199,2044.9317140232458
57.69633,11.6896,81,182,191,NA,SE,19,BURO,6,1088282,6,15,2016-12-20T09:31:05Z,gothenborg,2016-12-20,51,Passenger,gothenborg,0,57.71231,11.66467,2315.8172049231284
57.71171,11.68323,12,355,511,CLASS B,SE,30,POLSTJERNAN,6,1104090,7,0,2016-12-14T10:09:05Z,gothenborg,2016-12-14,50,Passenger,gothenborg,0,57.711,11.6586,1466.7602896350081
54.59192,18.9911,82,271,511,NA,PL,18,HEL 95,2,1105688,5,NA,2016-12-15T15:43:02Z,gdansk,2016-12-15,50,Fishing,Gdańsk,0,54.63875,18.99859,5235.408538511408
57.68736,11.70803,260,141,143,NA,SE,16,PILOT 218 SE,3,1123136,5,NA,2016-12-14T14:11:05Z,gothenborg,2016-12-14,50,Tug,gothenborg,0,57.69853,11.69123,1595.365921958873
54.61336,18.74677,84,303,511,NA,PL,18,JAS 61,2,1124170,5,NA,2016-12-15T15:31:01Z,gdansk,2016-12-15,50,Fishing,Gdańsk,0,54.60688,18.76464,1359.2667411890889
57.68228,11.83933,71,69,70,GOTHENBURG,BE,162,MELUSINE,7,115307,25,9729,2016-12-14T19:57:05Z,gothenborg,2016-12-14,50,Cargo,gothenborg,0,57.67873,11.7854,3233.9298972271245
57.65084,11.79274,1,170,210,STYRSOBOLAGET FRAKT,SE,30,GOTA II,6,1155907,8,0,2016-12-20T09:31:05Z,gothenborg,2016-12-20,51,Passenger,gothenborg,1,57.64394,11.85177,3599.345845919347
57.65609,11.7494,162,73,73,GOTEBORG,BE,162,VICTORINE,7,117309,25,9755,2016-12-19T17:29:05Z,gothenborg,2016-12-19,51,Cargo,gothenborg,0,57.64971,11.71424,2211.3281185200676
54.95827,20.36507,66,166,166,"NAKHODKA",RU,15,BARRAKUDA,9,1181634,6,NA,2016-12-17T08:51:02Z,kalingrad,2016-12-17,51,Pleasure,Kalingrad,0,54.96674,20.2634,6565.78031048223
57.96463,11.71845,105,38,40,STENUNGSUND,BE,174,WAASMUNSTER,8,118748,30,37500,2016-12-18T08:01:05Z,gothenborg,2016-12-18,51,Tanker,gothenborg,0,57.95479,11.70541,1339.0009025978898
57.74959,11.60024,81,287,284,FISHING GROUNDS,SE,22,STRANNEFJORD,2,1193077,7,0,2016-12-18T20:43:05Z,gothenborg,2016-12-18,51,Fishing,gothenborg,0,57.74808,11.61438,856.6221754690453
57.67932,11.78665,85,81,81,NA,SE,21,SANDEFJORD,2,1193771,7,0,2016-12-14T20:55:05Z,gothenborg,2016-12-14,50,Fishing,gothenborg,0,57.67745,11.76922,1058.1023261943578
54.52021,18.54748,4,212,511,HEL,PL,26,HEL-125,2,1198107,7,NA,2016-12-16T02:31:07Z,gdynia,2016-12-16,51,Fishing,Gdynia,1,54.52187,18.55046,266.86845404642867
59.90683,30.07483,102,293,295,SZCZECIN,CY,101,BF CARTAGENA,7,121733,18,5218,2016-12-15T17:39:03Z,st_petersburg,2016-12-15,50,Cargo,St. Petersburg,0,59.90217,30.09717,1350.6223024007923
59.90249,30.09439,76,113,111,ST.PETERSBURG,MT,134,X-PRESS ETNA,7,121902,22,11257,2016-12-19T15:13:03Z,st_petersburg,2016-12-19,51,Cargo,St. Petersburg,0,59.90613,30.07705,1049.324375684622
54.75998,18.99467,131,305,309,BREMERHAVEN,CY,125,IDUNA,7,122006,21,8820,2016-12-14T15:49:01Z,gdansk,2016-12-14,50,Cargo,Gdańsk,0,54.70171,18.99737,6488.916142831708
55.69126,21.13543,0,15,337,KLAIPEDA,CY,89,WILSON SKY,7,122250,15,4263,2016-12-14T14:43:06Z,klaipeda,2016-12-14,50,Cargo,Klaipeda,1,54.67703,18.9902,177008.55601936852
